1; 1, 2, 3, 4
2; 2, 3, 5
3; 1, 4, 5, 6, 7
4; 3, 6
5; 2, 7, 8
6; 1, 5, 9
7; 4, 8, 10
8; 2, 3, 6
9; 1, 2, 4, 5
10; 3, 7
11; 1, 8, 9
12; 2, 3
13; 4, 5, 6, 10
14; 3, 7
15; 1, 2, 5
16; 2, 4, 6
17; 1, 3, 8
18; 2, 5
19; 3, 4, 7
20; 1, 9
21; 2, 3, 10
22; 4, 5, 6, 8
23; 1, 2, 4
24; 3, 7, 9
25; 1, 5, 6
26; 2, 4
27; 3, 8
28; 1, 2, 5, 10
29; 4, 6, 7
30; 1, 3, 5, 8
31; 2, 3, 4
32; 5, 9
33; 1, 2, 6
34; 3, 7
35; 4, 8
36; 1, 5, 9
37; 2, 6, 10
38; 3, 4, 7
39; 1, 2, 8
40; 5, 6, 9
41; 1, 2, 3
42; 4, 5
43; 2, 3, 6
44; 1, 7
45; 3, 8
46; 1, 4, 5, 9
47; 2, 3, 10
48; 6, 7
49; 1, 5, 8
50; 2, 4, 6
51; 1, 3, 5
52; 2, 8
53; 3, 4, 6, 7
54; 1, 9, 10
55; 2, 3
56; 4, 5, 8
57; 1, 2, 7
58; 3, 5
59; 1, 4, 10
60; 2, 3, 6, 9
61; 1, 7, 8
62; 3, 5
63; 4, 9
64; 1, 2, 3
65; 6, 7
66; 4, 5
67; 1, 3, 8
68; 2, 4, 10
69; 5, 6
70; 1, 2
71; 3, 8, 9
72; 4, 5, 6
73; 1, 2, 7
74; 3, 10
75; 2, 4
76; 1, 5, 6
77; 3, 8, 9
78; 2, 5
79; 1, 3, 4
80; 2, 10
81; 5, 6
82; 1, 2, 3, 7
83; 4, 5
84; 1, 3, 8
85; 2, 9, 10
86; 1, 4
87; 3, 5
88; 1, 2, 3
89; 4, 6, 8
90; 2, 5
91; 1, 3
92; 5, 9
93; 1, 4, 10
94; 2, 3, 8
95; 5, 7
96; 1, 2, 3
97; 4, 6
98; 1, 5, 9
99; 2, 3, 10
100; 1, 4, 8
